
	PWF computation experiment 
	LPC order   : 10
	Frame Size  : 180
0, LPC:  -188, -2532, -79, -2260, 672, -189, 1082, 269, 365, -950, 
0, WF1:  -169, -2051, -58, -1483, 397, -100, 517, 116, 141, -331, 
0, WF2:  -75, -820, -23, -593, 159, -40, 207, 46, 57, -132, 

1, LPC:  -1117, -2788, 427, -2126, -1019, 95, 1234, -908, 580, -2046, 
1, WF1:  -1005, -2258, 311, -1395, -602, 50, 590, -391, 225, -713, 
1, WF2:  -447, -903, 124, -558, -241, 20, 236, -156, 90, -285, 

2, LPC:  -840, -3240, 822, -1060, 683, -961, 604, -987, 461, -2, 
2, WF1:  -756, -2624, 599, -695, 403, -511, 289, -425, 179, -1, 
2, WF2:  -336, -1050, 240, -278, 161, -204, 116, -170, 71, 0, 

3, LPC:  -1637, -4696, 2944, 4492, 204, -1958, 428, 1870, 792, -423, 
3, WF1:  -1473, -3803, 2146, 2947, 120, -1040, 205, 805, 307, -147, 
3, WF2:  -655, -1521, 858, 1179, 48, -416, 82, 322, 123, -59, 

4, LPC:  -778, -2672, -2017, -1572, 1923, 2051, 4425, -1225, -2405, 1477, 
4, WF1:  -700, -2164, -1470, -1031, 1135, 1090, 2116, -527, -931, 515, 
4, WF2:  -311, -866, -588, -412, 454, 436, 846, -211, -373, 206, 

5, LPC:  -2621, -2059, 1758, -152, 342, -490, 4779, 1428, -3724, 1187, 
5, WF1:  -2359, -1668, 1281, -100, 202, -260, 2285, 615, -1442, 414, 
5, WF2:  -1048, -667, 513, -40, 81, -104, 914, 246, -577, 165, 

6, LPC:  -4659, -2379, 5961, 3275, -4704, 649, 5608, 923, -3601, 2680, 
6, WF1:  -4193, -1927, 4345, 2148, -2777, 345, 2682, 397, -1395, 934, 
6, WF2:  -1863, -771, 1738, 859, -1111, 138, 1073, 159, -558, 374, 

7, LPC:  -6711, -3682, 9140, 2953, -7934, 2139, 4937, -864, -1629, 1367, 
7, WF1:  -6040, -2982, 6662, 1937, -4684, 1137, 2361, -372, -631, 476, 
7, WF2:  -2684, -1193, 2665, 775, -1874, 455, 944, -149, -252, 191, 

8, LPC:  -6996, -3417, 8305, 3112, -7354, 1090, 3677, 266, -1394, -122, 
8, WF1:  -6296, -2768, 6054, 2041, -4342, 579, 1758, 114, -540, -43, 
8, WF2:  -2798, -1107, 2421, 817, -1737, 232, 703, 46, -216, -17, 

